horario,pressao,geracao,vazao
"08/02/2023 17:28:38",159,23,24358
"08/02/2023 17:28:38",155,8,24358
"08/02/2023 17:28:38",189,16,24358
"08/02/2023 17:28:38",167,1,24358
"08/02/2023 17:28:38",174,7,24358
"08/02/2023 17:28:39",199,19,24358
"08/02/2023 17:28:39",156,7,24358
"08/02/2023 17:28:39",160,0,24358
"08/02/2023 17:28:39",170,9,24358
"08/02/2023 17:28:39",174,6,24358
"08/02/2023 17:28:39",141,18,24358
"08/02/2023 17:28:39",159,18,24358
"08/02/2023 17:28:39",175,18,24358
"08/02/2023 17:28:39",183,9,24358
"08/02/2023 17:28:39",172,4,24358
"08/02/2023 17:28:40",167,6,24358
"08/02/2023 17:28:40",158,19,24358
"08/02/2023 17:28:40",157,21,24358
"08/02/2023 17:28:40",168,22,24358
"08/02/2023 17:28:40",156,3,24358
"08/02/2023 17:28:40",170,2,24358
"08/02/2023 17:28:40",159,0,24358
"08/02/2023 17:28:40",60,5,24358
"08/02/2023 17:28:40",187,2,24358
"08/02/2023 17:28:41",173,9,24358
"08/02/2023 17:28:41",153,8,24358
"08/02/2023 17:28:41",188,7,24358
"08/02/2023 17:28:41",168,16,24358
"08/02/2023 17:28:41",175,6,24358
"08/02/2023 17:28:41",169,18,24358
"08/02/2023 17:28:41",174,2,24358
"08/02/2023 17:28:41",159,21,24358
"08/02/2023 17:28:41",169,9,24358
"08/02/2023 17:28:41",137,0,24358
"08/02/2023 17:28:42",157,10,24358
"08/02/2023 17:28:42",154,2,24358
"08/02/2023 17:28:42",186,9,24358
"08/02/2023 17:28:42",157,22,24358
"08/02/2023 17:28:42",149,8,24358
"08/02/2023 17:28:42",186,3,24358
"08/02/2023 17:28:42",166,5,24358
"08/02/2023 17:28:42",183,3,24358
"08/02/2023 17:28:42",173,4,24358
"08/02/2023 17:28:42",190,18,24358
"08/02/2023 17:28:43",153,17,24358
"08/02/2023 17:28:43",173,8,24358
"08/02/2023 17:28:43",168,4,24358
"08/02/2023 17:28:43",182,5,24358
"08/02/2023 17:28:43",172,1,24358
"08/02/2023 17:28:43",183,16,24358
"08/02/2023 17:28:43",173,2,24358
"08/02/2023 17:28:43",142,18,24358
"08/02/2023 17:28:43",172,19,24358
"08/02/2023 17:28:43",157,19,24358
"08/02/2023 17:28:44",174,6,24358
"08/02/2023 17:28:44",183,22,24358
"08/02/2023 17:28:44",169,1,24358
"08/02/2023 17:28:44",158,8,24358
"08/02/2023 17:28:44",159,17,24358
"08/02/2023 17:28:44",187,19,24358
"08/02/2023 17:28:44",184,20,24358
"08/02/2023 17:28:44",175,4,24358
"08/02/2023 17:28:44",171,3,24358
"08/02/2023 17:28:44",169,8,24358
"08/02/2023 17:28:45",152,8,24358
"08/02/2023 17:28:45",153,7,24358
"08/02/2023 17:28:45",160,8,24358
"08/02/2023 17:28:45",176,18,24358
"08/02/2023 17:28:45",157,6,24358
"08/02/2023 17:28:45",182,6,24358
